Life Tables of the resident population - Geographical Area: Italy - Males - Year: 2021
Age,Survivors,Deaths,Probability of death (per thousand),Years lived,Projection probability,Life expectancy,Notes
106,19,11,596.11695,13,0.3944269,1.126,s
107,8,5,628.98605,5,0.3623777,1.050,s
108,3,2,660.89964,2,0.3313245,0.982,s
109,1,1,691.60641,1,0.3014908,0.922,s
110,0,0,720.89205,0,0.2730663,0.869,s
111,0,0,748.58001,0,0.2462049,0.822,s
112,0,0,774.53751,0,0.2210225,0.780,s
113,0,0,798.67011,0,0.1976001,0.744,s
114,0,0,820.92565,0,0.1759819,0.712,s
115,0,0,841.28684,0,0.1561813,0.684,s
116,0,0,859.77108,0,0.1381812,0.660,s
117,0,0,876.42113,0,0.1219420,0.638,s
118,0,0,891.30394,0,0.1074021,0.620,s
119,0,0,904.50240,0,0.0944855,0.604,s
Info: s = Estimate data
